identifier_client,quantity,book_price,portfolio_name,position_date,curve_name
US31959XAF06,70000.0,95.47,USIG01,2025-05-20,USD_SWAP
US202712BX27,45000.0,96.5,USIG01,2025-05-20,USD_SWAP
US25179MAL72,1900000.0,89.18,USIG01,2025-05-20,USD_SWAP
US14314CAA36,740000.0,94.21,USIG01,2025-05-20,USD_SWAP
US412822AE80,593000.0,78.29,USIG01,2025-05-20,USD_SWAP
US21987BAU26,1427000.0,81.55,USIG01,2025-05-20,USD_SWAP
US00452AAA88,140000.0,99.96,USIG01,2025-05-20,USD_SWAP
US29273RAR03,1475000.0,100.6,USIG01,2025-05-20,USD_SWAP
US21987BAX64,2005000.0,76.5,USIG01,2025-05-20,USD_SWAP
US31503AAA25,439329.0,95.5,USIG01,2025-05-20,USD_SWAP
US78516FAC32,695000.0,81.56,USIG01,2025-05-20,USD_SWAP
US75102XAE67,1010000.0,97.42,USIG01,2025-05-20,USD_SWAP
US126650CZ11,11424000.0,85.23,USIG01,2025-05-20,USD_SWAP
US292480AJ92,790000.0,83.27,USIG01,2025-05-20,USD_SWAP
US03938LAS34,686000.0,103.12,USIG01,2025-05-20,USD_SWAP
US07274NBF96,1327000.0,75.36,USIG01,2025-05-20,USD_SWAP
US623115AE21,865000.0,65.47,USIG01,2025-05-20,USD_SWAP
US72650RBH49,969000.0,82.18,USIG01,2025-05-20,USD_SWAP
US458140AT73,1176000.0,82.36,USIG01,2025-05-20,USD_SWAP
US682680BX02,870000.0,73.49,USIG01,2025-05-20,USD_SWAP
US718547AP73,1029000.0,82.77,USIG01,2025-05-20,USD_SWAP
US22822VAM37,663000.0,88.1,USIG01,2025-05-20,USD_SWAP
US459506AE19,725000.0,75.48,USIG01,2025-05-20,USD_SWAP
US444859BG60,834000.0,81.49,USIG01,2025-05-20,USD_SWAP
US29103DAM83,1991000.0,80.65,USIG01,2025-05-20,USD_SWAP
US56585AAF93,1935000.0,100.44,USIG01,2025-05-20,USD_SWAP
US91529YAP16,800000.0,77.72,USIG01,2025-05-20,USD_SWAP
US07274NBG79,688000.0,69.53,USIG01,2025-05-20,USD_SWAP
US015271AQ26,423000.0,82.99,USIG01,2025-05-20,USD_SWAP
US84265VAJ44,1963000.0,95.87,USIG01,2025-05-20,USD_SWAP
US19828TAE64,910000.0,102.75,USIG01,2025-05-20,USD_SWAP
US654902AC90,850000.0,99.77,USIG01,2025-05-20,USD_SWAP
US219350AR68,537000.0,102.08,USIG01,2025-05-20,USD_SWAP
US126650EE63,1265000.0,97.06,USIG01,2025-05-20,USD_SWAP
US458140AY68,1522000.0,71.79,USIG01,2025-05-20,USD_SWAP
